x:15 y:360 width:784 height:321 class_idx:205
x:33 y:365 width:22 height:28 class_idx:102
x:146 y:695 width:27 height:33 class_idx:100 text:化
x:41 y:979 width:30 height:32 class_idx:100 text:共
x:171 y:696 width:29 height:30 class_idx:100 text:提
x:265 y:695 width:29 height:31 class_idx:100 text:式
x:296 y:365 width:29 height:29 class_idx:100 text:友
x:345 y:363 width:43 height:32 class_idx:100 text:往
x:139 y:368 width:26 height:26 class_idx:100 text:强
x:543 y:928 width:32 height:33 class_idx:100 text:元
x:463 y:928 width:32 height:32 class_idx:100 text:有
x:165 y:928 width:30 height:30 class_idx:100 text:挑
x:163 y:368 width:27 height:27 class_idx:100 text:化
x:155 y:99 width:25 height:26 class_idx:100 text:单
x:89 y:365 width:26 height:28 class_idx:100 text:分
x:246 y:365 width:30 height:29 class_idx:100 text:找
x:21 y:904 width:829 height:375 class_idx:200
x:158 y:68 width:23 height:26 class_idx:100 text:习
x:395 y:100 width:23 height:21 class_idx:100 text:第
x:96 y:978 width:30 height:33 class_idx:100 text:多
x:138 y:928 width:28 height:31 class_idx:100 text:用
x:178 y:99 width:26 height:26 class_idx:100 text:的
x:238 y:696 width:30 height:30 class_idx:100 text:竖
x:759 y:928 width:31 height:33 class_idx:100 text:多
x:124 y:163 width:25 height:26 class_idx:100 text:钟
x:148 y:163 width:26 height:26 class_idx:100 text:快
x:408 y:361 width:41 height:33 class_idx:100 text:连
x:290 y:926 width:33 height:34 class_idx:100 text:有
x:275 y:366 width:25 height:29 class_idx:100 text:朋
x:587 y:930 width:31 height:33 class_idx:100 text:丽
x:114 y:368 width:26 height:27 class_idx:100 text:钟
x:409 y:929 width:30 height:31 class_idx:100 text:丽
x:94 y:695 width:27 height:34 class_idx:100 text:钟
x:188 y:368 width:26 height:27 class_idx:100 text:训
x:54 y:928 width:31 height:31 class_idx:100 text:分
x:171 y:164 width:24 height:26 class_idx:100 text:乐
x:68 y:696 width:28 height:30 class_idx:100 text:分
x:83 y:926 width:31 height:33 class_idx:100 text:钟
x:111 y:928 width:29 height:30 class_idx:100 text:应
x:124 y:979 width:29 height:31 class_idx:100 text:少
x:617 y:930 width:30 height:31 class_idx:100 text:丽
x:201 y:99 width:27 height:26 class_idx:100 text:小
x:193 y:928 width:30 height:30 class_idx:100 text:战
x:817 y:929 width:31 height:32 class_idx:100 text:元
x:730 y:926 width:30 height:38 class_idx:100 text:多
x:291 y:695 width:28 height:29 class_idx:100 text:计
x:99 y:163 width:26 height:26 class_idx:100 text:分
x:119 y:695 width:27 height:34 class_idx:100 text:强
x:234 y:926 width:32 height:33 class_idx:100 text:红
x:198 y:696 width:28 height:30 class_idx:100 text:升
x:263 y:928 width:30 height:31 class_idx:100 text:红
x:368 y:926 width:33 height:34 class_idx:100 text:元
x:497 y:929 width:47 height:31 class_idx:104 text:5.6
x:225 y:98 width:25 height:27 class_idx:100 text:数
x:283 y:98 width:26 height:27 class_idx:100 text:减
x:84 y:214 width:40 height:29 class_idx:104 text:5.3
x:644 y:930 width:31 height:31 class_idx:100 text:比
x:69 y:975 width:30 height:39 class_idx:100 text:有
x:325 y:633 width:39 height:27 class_idx:104 text:1.9
x:150 y:979 width:30 height:31 class_idx:100 text:元
x:348 y:100 width:23 height:23 class_idx:100 text:数
x:482 y:254 width:43 height:27 class_idx:104 text:6.2
x:549 y:148 width:19 height:23 class_idx:100 text:其
x:788 y:926 width:30 height:38 class_idx:100 text:少
x:672 y:929 width:32 height:32 class_idx:100 text:红
x:655 y:429 width:43 height:27 class_idx:104 text:5.8
x:321 y:929 width:45 height:30 class_idx:104 text:4.8
x:370 y:98 width:26 height:26 class_idx:100 text:材
x:421 y:95 width:29 height:28 class_idx:104 text:96
x:215 y:163 width:29 height:27 class_idx:100 text:算
x:133 y:68 width:26 height:26 class_idx:100 text:练
x:125 y:444 width:43 height:26 class_idx:104 text:0.2
x:316 y:694 width:29 height:31 class_idx:100 text:算
x:700 y:929 width:33 height:32 class_idx:100 text:红
x:438 y:926 width:27 height:37 class_idx:100 text:丽
x:625 y:188 width:70 height:42 class_idx:104 text:6.6
x:275 y:444 width:39 height:26 class_idx:104 text:3.6
x:482 y:301 width:46 height:30 class_idx:104 text:5.4
x:518 y:436 width:41 height:27 class_idx:104 text:6.2
