x:15 y:415 width:832 height:464 class_idx:201
x:434 y:693 width:31 height:32 class_idx:100 text:换
x:717 y:596 width:31 height:32 class_idx:100 text:律
x:31 y:745 width:28 height:29 class_idx:102
x:249 y:655 width:25 height:26 class_idx:104 text:+
x:136 y:530 width:29 height:30 class_idx:100 text:法
x:538 y:469 width:80 height:44 class_idx:101
x:646 y:641 width:32 height:33 class_idx:100 text:运
x:656 y:513 width:31 height:32 class_idx:100 text:交
x:578 y:353 width:29 height:31 class_idx:100 text:算
x:539 y:395 width:29 height:31 class_idx:100 text:先
x:33 y:81 width:795 height:362 class_idx:201
x:548 y:275 width:30 height:33 class_idx:100 text:第
x:746 y:596 width:31 height:30 class_idx:100 text:和
x:787 y:256 width:32 height:32 class_idx:100 text:第
x:811 y:683 width:33 height:32 class_idx:100 text:法
x:140 y:293 width:28 height:30 class_idx:100 text:数
x:408 y:694 width:29 height:31 class_idx:100 text:交
x:379 y:695 width:30 height:31 class_idx:100 text:法
x:60 y:256 width:26 height:27 class_idx:100 text:4
x:681 y:510 width:31 height:35 class_idx:100 text:换
x:393 y:399 width:29 height:30 class_idx:100 text:有
x:782 y:683 width:31 height:32 class_idx:100 text:加
x:707 y:228 width:27 height:26 class_idx:104 text:+
x:638 y:686 width:31 height:33 class_idx:100 text:法
x:753 y:683 width:31 height:33 class_idx:100 text:和
x:264 y:404 width:28 height:30 class_idx:100 text:算
x:432 y:521 width:30 height:30 class_idx:100 text:换
x:50 y:448 width:31 height:31 class_idx:100 text:选
x:125 y:833 width:34 height:33 class_idx:100 text:填
x:299 y:135 width:28 height:29 class_idx:100 text:和
x:631 y:599 width:31 height:31 class_idx:100 text:法
x:629 y:270 width:29 height:31 class_idx:100 text:加
x:498 y:356 width:30 height:30 class_idx:100 text:混
x:702 y:385 width:30 height:31 class_idx:100 text:里
x:452 y:478 width:30 height:32 class_idx:100 text:运
x:604 y:273 width:28 height:28 class_idx:100 text:个
x:430 y:165 width:29 height:29 class_idx:100 text:减
x:399 y:281 width:29 height:29 class_idx:100 text:加
x:216 y:741 width:45 height:32 class_idx:104 text:4.8
x:682 y:325 width:116 height:55 class_idx:101
x:225 y:446 width:28 height:29 class_idx:100 text:确
x:350 y:695 width:30 height:31 class_idx:100 text:加
x:129 y:699 width:29 height:30 class_idx:100 text:法
x:627 y:515 width:30 height:29 class_idx:100 text:法
x:475 y:561 width:30 height:30 class_idx:100 text:运
x:661 y:599 width:28 height:31 class_idx:100 text:交
x:512 y:395 width:30 height:31 class_idx:100 text:要
x:503 y:559 width:31 height:32 class_idx:100 text:用
x:419 y:398 width:31 height:31 class_idx:100 text:括
x:115 y:293 width:26 height:28 class_idx:100 text:个
x:215 y:290 width:28 height:30 class_idx:100 text:是
x:303 y:444 width:27 height:30 class_idx:100 text:的
x:69 y:145 width:25 height:28 class_idx:102
x:485 y:280 width:54 height:29 class_idx:104 text:53.5
x:59 y:294 width:26 height:27 class_idx:102
x:666 y:686 width:30 height:32 class_idx:100 text:交
x:550 y:354 width:29 height:30 class_idx:100 text:运
x:109 y:409 width:27 height:30 class_idx:100 text:数
x:250 y:446 width:28 height:29 class_idx:100 text:答
x:407 y:523 width:28 height:31 class_idx:100 text:交
x:344 y:563 width:55 height:33 class_idx:104 text:(6.8
x:597 y:515 width:32 height:31 class_idx:100 text:加
x:374 y:131 width:26 height:30 class_idx:100 text:整
x:290 y:403 width:27 height:30 class_idx:100 text:的
x:276 y:446 width:28 height:29 class_idx:100 text:案
x:434 y:606 width:29 height:30 class_idx:100 text:换
x:566 y:393 width:30 height:32 class_idx:100 text:算
x:160 y:409 width:30 height:30 class_idx:100 text:减
x:160 y:613 width:30 height:31 class_idx:100 text:结
x:397 y:566 width:26 height:27 class_idx:104 text:+
x:693 y:685 width:33 height:34 class_idx:100 text:换
x:184 y:831 width:32 height:35 class_idx:100 text:填
x:239 y:366 width:27 height:30 class_idx:100 text:运
x:519 y:200 width:30 height:31 class_idx:100 text:用
x:206 y:654 width:43 height:30 class_idx:104 text:3.2
x:405 y:606 width:30 height:32 class_idx:100 text:交
x:803 y:593 width:33 height:33 class_idx:100 text:法
x:133 y:614 width:28 height:30 class_idx:100 text:法
x:265 y:364 width:28 height:30 class_idx:100 text:算
x:136 y:656 width:48 height:30 class_idx:104 text:6.8
x:238 y:408 width:27 height:27 class_idx:100 text:运
x:164 y:370 width:27 height:29 class_idx:100 text:减
x:462 y:603 width:27 height:36 class_idx:100 text:律
x:494 y:201 width:28 height:29 class_idx:100 text:应
x:723 y:685 width:31 height:33 class_idx:100 text:律
x:758 y:381 width:31 height:32 class_idx:100 text:的
x:378 y:608 width:30 height:30 class_idx:100 text:法
x:393 y:359 width:29 height:30 class_idx:100 text:整
x:463 y:691 width:31 height:33 class_idx:100 text:律
