x:343 y:851 width:311 height:177 class_idx:300
x:100 y:486 width:20 height:25 class_idx:100 text:鸟
x:135 y:263 width:21 height:25 class_idx:100 text:的
x:306 y:488 width:22 height:23 class_idx:100 text:比
x:156 y:486 width:22 height:27 class_idx:100 text:界
x:346 y:1040 width:22 height:25 class_idx:100 text:是
x:233 y:1048 width:21 height:23 class_idx:100 text:形
x:372 y:266 width:21 height:25 class_idx:100 text:法
x:311 y:1043 width:20 height:25 class_idx:100 text:面
x:171 y:263 width:22 height:23 class_idx:100 text:式
x:439 y:829 width:20 height:24 class_idx:100 text:有
x:156 y:540 width:22 height:26 class_idx:100 text:重
x:266 y:540 width:19 height:26 class_idx:100 text:少
x:354 y:266 width:21 height:25 class_idx:100 text:除
x:100 y:540 width:20 height:25 class_idx:100 text:鸟
x:390 y:268 width:19 height:22 class_idx:100 text:算
x:264 y:263 width:20 height:25 class_idx:100 text:数
x:231 y:956 width:22 height:27 class_idx:100 text:都
x:250 y:486 width:21 height:27 class_idx:100 text:鸟
x:100 y:515 width:21 height:24 class_idx:100 text:重
x:288 y:993 width:20 height:25 class_idx:100 text:吗
x:126 y:1003 width:20 height:25 class_idx:100 text:提
x:100 y:264 width:20 height:24 class_idx:100 text:下
x:138 y:486 width:21 height:27 class_idx:100 text:世
x:336 y:266 width:21 height:24 class_idx:100 text:的
x:235 y:996 width:19 height:25 class_idx:100 text:并
x:573 y:561 width:20 height:24 class_idx:100 text:有
x:136 y:373 width:20 height:26 class_idx:100 text:计
x:269 y:1045 width:19 height:25 class_idx:100 text:菜
x:288 y:488 width:21 height:26 class_idx:100 text:它
x:118 y:263 width:20 height:25 class_idx:100 text:面
x:199 y:836 width:21 height:25 class_idx:100 text:冠
x:119 y:539 width:21 height:26 class_idx:100 text:的
x:251 y:1046 width:20 height:25 class_idx:100 text:的
x:118 y:488 width:22 height:26 class_idx:100 text:是
x:325 y:486 width:21 height:27 class_idx:100 text:天
x:126 y:1054 width:22 height:25 class_idx:100 text:家
x:194 y:541 width:19 height:23 class_idx:100 text:天
x:176 y:488 width:20 height:26 class_idx:100 text:上
x:194 y:486 width:21 height:27 class_idx:100 text:最
x:629 y:1053 width:20 height:26 class_idx:100 text:米
x:285 y:1045 width:20 height:24 class_idx:100 text:地
x:199 y:514 width:21 height:26 class_idx:100 text:克
x:180 y:514 width:20 height:25 class_idx:100 text:千
x:228 y:263 width:20 height:25 class_idx:100 text:成
x:218 y:998 width:18 height:23 class_idx:100 text:题
x:165 y:963 width:21 height:23 class_idx:100 text:英
x:500 y:486 width:22 height:25 class_idx:100 text:我
x:109 y:1054 width:20 height:25 class_idx:100 text:云
x:300 y:264 width:20 height:26 class_idx:100 text:整
x:230 y:540 width:20 height:26 class_idx:100 text:的
x:253 y:995 width:20 height:25 class_idx:100 text:解
x:183 y:838 width:20 height:23 class_idx:100 text:果
x:145 y:1054 width:18 height:24 class_idx:100 text:有
x:231 y:486 width:22 height:25 class_idx:100 text:的
x:175 y:540 width:20 height:25 class_idx:100 text:是
x:211 y:540 width:20 height:25 class_idx:100 text:鹅
x:209 y:263 width:20 height:25 class_idx:100 text:化
