x:339 y:909 width:41 height:66 class_idx:101
x:214 y:916 width:41 height:60 class_idx:101
x:213 y:1034 width:42 height:62 class_idx:101
x:218 y:973 width:40 height:65 class_idx:101
x:452 y:818 width:392 height:325 class_idx:200
x:335 y:1035 width:45 height:64 class_idx:101
x:413 y:206 width:25 height:25 class_idx:100 text:数
x:388 y:206 width:26 height:27 class_idx:100 text:分
x:467 y:839 width:22 height:25 class_idx:100 text:把
x:762 y:841 width:21 height:23 class_idx:100 text:用
x:338 y:970 width:42 height:69 class_idx:101
x:572 y:839 width:23 height:25 class_idx:100 text:成
x:524 y:790 width:25 height:25 class_idx:100 text:优
x:435 y:206 width:27 height:25 class_idx:100 text:除
x:484 y:201 width:25 height:30 class_idx:100 text:整
x:465 y:874 width:24 height:26 class_idx:100 text:平
x:403 y:576 width:26 height:24 class_idx:100 text:的
x:459 y:204 width:26 height:26 class_idx:100 text:以
x:522 y:839 width:18 height:25 class_idx:100 text:木
x:90 y:1033 width:35 height:60 class_idx:101
x:99 y:884 width:17 height:22 class_idx:100 text:得
x:429 y:574 width:415 height:245 class_idx:200
x:221 y:580 width:19 height:23 class_idx:100 text:成
x:448 y:836 width:21 height:27 class_idx:102
x:270 y:980 width:25 height:44 class_idx:104 text:$FRACS$1/11$FRACE$
x:575 y:875 width:19 height:25 class_idx:100 text:多
x:508 y:200 width:27 height:26 class_idx:100 text:数
x:538 y:839 width:19 height:25 class_idx:100 text:料
x:609 y:840 width:19 height:24 class_idx:100 text:度
x:610 y:875 width:19 height:26 class_idx:100 text:时
x:555 y:840 width:19 height:23 class_idx:100 text:据
x:592 y:876 width:20 height:24 class_idx:100 text:长
x:628 y:875 width:19 height:26 class_idx:100 text:间
x:744 y:841 width:20 height:23 class_idx:100 text:共
x:389 y:454 width:20 height:20 class_idx:100 text:就
x:99 y:919 width:31 height:46 class_idx:104 text:$FRACS$2/7$FRACE$
x:504 y:839 width:19 height:25 class_idx:100 text:根
x:156 y:919 width:23 height:46 class_idx:104 text:$FRACS$5/8$FRACE$
x:94 y:968 width:39 height:67 class_idx:101
x:643 y:841 width:20 height:22 class_idx:100 text:等
x:660 y:840 width:24 height:25 class_idx:100 text:的
x:30 y:870 width:356 height:233 class_idx:203
x:504 y:875 width:19 height:24 class_idx:100 text:据
x:326 y:578 width:20 height:22 class_idx:100 text:就
x:538 y:876 width:21 height:23 class_idx:100 text:次
x:557 y:875 width:18 height:25 class_idx:100 text:用
x:345 y:579 width:19 height:21 class_idx:100 text:占
x:583 y:619 width:21 height:21 class_idx:100 text:少
x:50 y:708 width:20 height:22 class_idx:102
x:545 y:619 width:23 height:24 class_idx:100 text:快
x:294 y:616 width:17 height:22 class_idx:100 text:多
x:363 y:410 width:17 height:25 class_idx:100 text:点
x:190 y:988 width:20 height:22 class_idx:104 text:10
x:782 y:840 width:17 height:24 class_idx:100 text:了
x:544 y:435 width:16 height:23 class_idx:100 text:驶
x:146 y:1039 width:24 height:46 class_idx:104 text:$FRACS$1/3$FRACE$
x:487 y:874 width:18 height:25 class_idx:100 text:均
x:203 y:581 width:20 height:22 class_idx:100 text:分
x:258 y:618 width:18 height:21 class_idx:100 text:份
x:370 y:615 width:19 height:24 class_idx:100 text:就
x:622 y:430 width:16 height:21 class_idx:100 text:分
x:184 y:581 width:20 height:22 class_idx:100 text:均
x:605 y:586 width:18 height:23 class_idx:100 text:千
x:141 y:460 width:19 height:19 class_idx:100 text:成
x:40 y:923 width:23 height:37 class_idx:104 text:$FRACS$4/7$FRACE$
x:738 y:583 width:20 height:20 class_idx:100 text:走
x:159 y:518 width:17 height:21 class_idx:100 text:算
x:271 y:919 width:25 height:46 class_idx:104 text:$FRACS$1/15$FRACE$
x:567 y:619 width:17 height:21 class_idx:100 text:多
x:64 y:884 width:20 height:21 class_idx:100 text:接
x:48 y:883 width:18 height:25 class_idx:100 text:直
x:153 y:979 width:23 height:45 class_idx:104 text:$FRACS$1/10$FRACE$
x:165 y:583 width:19 height:18 class_idx:100 text:平
x:69 y:708 width:17 height:22 class_idx:100 text:计
x:81 y:883 width:18 height:23 class_idx:100 text:写
x:485 y:590 width:19 height:23 class_idx:100 text:芳
x:270 y:646 width:19 height:19 class_idx:100 text:是
x:374 y:454 width:17 height:21 class_idx:100 text:也
x:306 y:579 width:20 height:21 class_idx:100 text:份
x:627 y:840 width:18 height:24 class_idx:100 text:相
x:189 y:616 width:19 height:24 class_idx:100 text:所
x:504 y:589 width:19 height:24 class_idx:100 text:巧
x:772 y:579 width:18 height:26 class_idx:100 text:学
x:296 y:929 width:17 height:21 class_idx:104 text:/
x:468 y:591 width:19 height:22 class_idx:100 text:小
x:146 y:581 width:19 height:23 class_idx:100 text:米
x:790 y:579 width:18 height:24 class_idx:100 text:千
x:557 y:588 width:18 height:23 class_idx:100 text:走
x:239 y:456 width:21 height:20 class_idx:100 text:是
x:241 y:616 width:18 height:23 class_idx:100 text:每
x:128 y:548 width:17 height:18 class_idx:100 text:可
x:722 y:583 width:18 height:21 class_idx:100 text:钟
x:208 y:260 width:21 height:23 class_idx:100 text:因
x:289 y:580 width:20 height:21 class_idx:100 text:每
x:590 y:431 width:18 height:23 class_idx:100 text:的
x:310 y:616 width:18 height:22 class_idx:100 text:少
x:484 y:439 width:16 height:20 class_idx:100 text:每
x:409 y:453 width:19 height:22 class_idx:100 text:是
x:523 y:590 width:17 height:21 class_idx:100 text:分
x:590 y:841 width:19 height:20 class_idx:100 text:长
x:607 y:431 width:16 height:22 class_idx:100 text:几
x:637 y:430 width:18 height:21 class_idx:100 text:之
x:558 y:409 width:17 height:17 class_idx:100 text:地
x:220 y:458 width:20 height:18 class_idx:100 text:份
x:169 y:1048 width:16 height:22 class_idx:104 text:/
x:517 y:620 width:17 height:21 class_idx:100 text:快
x:293 y:989 width:17 height:21 class_idx:104 text:/
x:405 y:615 width:20 height:23 class_idx:100 text:求
x:328 y:616 width:17 height:23 class_idx:100 text:米
x:144 y:679 width:16 height:20 class_idx:100 text:算
x:560 y:435 width:15 height:20 class_idx:100 text:全
x:274 y:618 width:19 height:20 class_idx:100 text:是
x:653 y:429 width:17 height:20 class_idx:100 text:几
x:224 y:618 width:19 height:21 class_idx:100 text:求
x:159 y:418 width:16 height:20 class_idx:100 text:做
x:659 y:235 width:18 height:21 class_idx:100 text:面
x:68 y:258 width:375 height:471 class_idx:202
x:94 y:678 width:20 height:21 class_idx:100 text:列
x:144 y:545 width:16 height:21 class_idx:100 text:以
x:311 y:830 width:32 height:44 class_idx:101
x:156 y:263 width:19 height:22 class_idx:100 text:基
x:259 y:581 width:20 height:20 class_idx:100 text:份
x:388 y:615 width:18 height:23 class_idx:100 text:是
x:703 y:583 width:20 height:21 class_idx:100 text:分
x:188 y:545 width:17 height:21 class_idx:100 text:想
x:113 y:676 width:18 height:24 class_idx:100 text:式
x:63 y:930 width:13 height:23 class_idx:104 text:/
x:697 y:841 width:21 height:20 class_idx:100 text:段
x:233 y:140 width:30 height:28 class_idx:100 text:第
x:173 y:544 width:16 height:21 class_idx:100 text:样
x:528 y:409 width:17 height:20 class_idx:100 text:从
x:91 y:548 width:23 height:20 class_idx:102
x:799 y:836 width:21 height:34 class_idx:100 text:号
x:395 y:411 width:16 height:20 class_idx:100 text:平
x:114 y:884 width:19 height:21 class_idx:100 text:数
x:303 y:646 width:15 height:20 class_idx:100 text:少
x:75 y:929 width:14 height:21 class_idx:104 text:2
x:191 y:261 width:18 height:22 class_idx:100 text:巩
x:575 y:433 width:17 height:21 class_idx:100 text:程
x:353 y:616 width:18 height:23 class_idx:100 text:也
x:380 y:410 width:16 height:23 class_idx:100 text:米
x:573 y:590 width:15 height:21 class_idx:100 text:了
x:660 y:584 width:20 height:21 class_idx:100 text:刚
x:499 y:411 width:16 height:22 class_idx:100 text:八
x:443 y:216 width:362 height:169 class_idx:200
x:529 y:435 width:16 height:21 class_idx:100 text:行
x:206 y:618 width:19 height:21 class_idx:100 text:以
x:175 y:263 width:16 height:21 class_idx:100 text:础
x:145 y:418 width:15 height:20 class_idx:100 text:米
x:469 y:253 width:18 height:22 class_idx:100 text:一
x:289 y:1053 width:19 height:20 class_idx:104 text:/
x:131 y:479 width:33 height:47 class_idx:101
x:51 y:1046 width:17 height:23 class_idx:104 text:/
x:114 y:548 width:16 height:20 class_idx:100 text:还
x:410 y:413 width:19 height:17 class_idx:100 text:均
x:36 y:975 width:20 height:46 class_idx:104 text:$FRACS$5/9$FRACE$
x:63 y:586 width:20 height:20 class_idx:102
x:774 y:228 width:18 height:21 class_idx:100 text:是
x:176 y:519 width:17 height:20 class_idx:100 text:为
x:514 y:409 width:16 height:20 class_idx:100 text:车
x:175 y:460 width:19 height:18 class_idx:100 text:1
x:269 y:1040 width:21 height:46 class_idx:104 text:$FRACS$2/7$FRACE$
x:160 y:679 width:16 height:20 class_idx:100 text:为
x:316 y:741 width:32 height:48 class_idx:101
x:260 y:448 width:41 height:37 class_idx:101
x:30 y:883 width:18 height:23 class_idx:102
x:124 y:459 width:17 height:20 class_idx:100 text:分
x:502 y:618 width:16 height:22 class_idx:100 text:得
x:191 y:929 width:13 height:20 class_idx:104 text:5
x:175 y:416 width:16 height:22 class_idx:100 text:是
x:55 y:986 width:16 height:23 class_idx:104 text:/
x:483 y:411 width:17 height:22 class_idx:100 text:辆
x:644 y:236 width:16 height:22 class_idx:100 text:个
x:484 y:278 width:16 height:18 class_idx:100 text:度
x:452 y:591 width:17 height:22 class_idx:102
x:70 y:988 width:13 height:22 class_idx:104 text:3
x:85 y:708 width:18 height:21 class_idx:100 text:算
x:286 y:414 width:19 height:19 class_idx:100 text:把
x:346 y:453 width:17 height:22 class_idx:100 text:米
x:588 y:591 width:17 height:23 class_idx:100 text:方
x:585 y:268 width:17 height:18 class_idx:100 text:一
x:103 y:630 width:68 height:55 class_idx:101
x:468 y:441 width:17 height:17 class_idx:100 text:均
x:164 y:491 width:16 height:22 class_idx:100 text:米
