x:396 y:799 width:86 height:66 class_idx:101
x:391 y:649 width:88 height:57 class_idx:101
x:222 y:651 width:75 height:55 class_idx:101
x:575 y:645 width:85 height:65 class_idx:101
x:30 y:548 width:84 height:38 class_idx:101
x:572 y:509 width:85 height:56 class_idx:101
x:394 y:505 width:80 height:56 class_idx:101
x:234 y:498 width:66 height:73 class_idx:101
x:585 y:799 width:72 height:57 class_idx:101
x:220 y:799 width:79 height:66 class_idx:101
x:578 y:340 width:79 height:49 class_idx:101
x:250 y:340 width:75 height:54 class_idx:101
x:585 y:274 width:76 height:55 class_idx:101
x:573 y:920 width:89 height:65 class_idx:101
x:397 y:924 width:82 height:64 class_idx:101
x:259 y:273 width:75 height:58 class_idx:101
x:250 y:210 width:83 height:56 class_idx:101
x:222 y:930 width:78 height:54 class_idx:101
x:601 y:213 width:62 height:52 class_idx:101
x:21 y:156 width:29 height:37 class_idx:102
x:263 y:556 width:22 height:25 class_idx:102
x:20 y:425 width:34 height:39 class_idx:102
x:319 y:925 width:24 height:25 class_idx:104 text:*
x:521 y:919 width:22 height:34 class_idx:104 text:2
x:342 y:919 width:21 height:35 class_idx:104 text:3
x:170 y:916 width:22 height:33 class_idx:104 text:6
x:59 y:665 width:36 height:36 class_idx:104 text:48
x:143 y:791 width:25 height:29 class_idx:104 text:*
x:168 y:788 width:21 height:32 class_idx:104 text:5
x:320 y:795 width:23 height:26 class_idx:104 text:*
x:343 y:790 width:24 height:33 class_idx:104 text:5
x:145 y:921 width:24 height:27 class_idx:104 text:*
x:527 y:214 width:24 height:30 class_idx:104 text:6
x:65 y:939 width:39 height:35 class_idx:104 text:28
x:498 y:925 width:23 height:25 class_idx:104 text:*
x:501 y:795 width:22 height:25 class_idx:104 text:*
x:522 y:790 width:21 height:33 class_idx:104 text:2
x:60 y:810 width:40 height:33 class_idx:104 text:39
x:501 y:653 width:22 height:25 class_idx:104 text:*
x:166 y:218 width:27 height:30 class_idx:104 text:*
x:193 y:214 width:22 height:35 class_idx:104 text:9
x:412 y:220 width:42 height:36 class_idx:104 text:24
x:503 y:216 width:24 height:29 class_idx:104 text:*
x:76 y:224 width:39 height:37 class_idx:104 text:37
x:78 y:285 width:41 height:38 class_idx:104 text:46
x:412 y:283 width:40 height:37 class_idx:104 text:68
x:70 y:348 width:58 height:38 class_idx:104 text:258
x:402 y:345 width:60 height:40 class_idx:104 text:373
x:159 y:495 width:25 height:29 class_idx:104 text:8
x:135 y:498 width:25 height:28 class_idx:104 text:*
x:315 y:503 width:27 height:28 class_idx:104 text:*
x:340 y:498 width:23 height:35 class_idx:104 text:7
x:501 y:504 width:22 height:26 class_idx:104 text:*
x:523 y:499 width:23 height:35 class_idx:104 text:3
x:54 y:515 width:37 height:38 class_idx:104 text:12
x:164 y:644 width:24 height:31 class_idx:104 text:3
x:140 y:649 width:24 height:26 class_idx:104 text:*
x:320 y:653 width:22 height:25 class_idx:104 text:*
x:343 y:646 width:23 height:35 class_idx:104 text:2
x:524 y:646 width:22 height:34 class_idx:104 text:4
x:63 y:188 width:281 height:228 class_idx:206
x:393 y:200 width:268 height:200 class_idx:206
x:10 y:445 width:671 height:605 class_idx:207
