x:0 y:999 width:797 height:267 class_idx:200
x:459 y:1020 width:28 height:30 class_idx:100 text:在
x:75 y:224 width:23 height:26 class_idx:100 text:竖
x:131 y:86 width:23 height:27 class_idx:100 text:并
x:4 y:756 width:24 height:25 class_idx:102
x:51 y:758 width:24 height:26 class_idx:100 text:兔
x:28 y:755 width:25 height:28 class_idx:100 text:白
x:319 y:90 width:24 height:25 class_idx:100 text:发
x:299 y:89 width:23 height:25 class_idx:100 text:的
x:173 y:86 width:23 height:27 class_idx:100 text:同
x:429 y:560 width:24 height:26 class_idx:100 text:书
x:337 y:754 width:26 height:29 class_idx:100 text:兔
x:204 y:563 width:25 height:25 class_idx:100 text:图
x:558 y:754 width:25 height:29 class_idx:100 text:多
x:205 y:1063 width:25 height:28 class_idx:100 text:是
x:484 y:1021 width:26 height:29 class_idx:100 text:东
x:360 y:754 width:28 height:29 class_idx:100 text:的
x:83 y:564 width:22 height:26 class_idx:100 text:书
x:221 y:754 width:25 height:27 class_idx:100 text:的
x:116 y:223 width:24 height:23 class_idx:100 text:计
x:181 y:1064 width:25 height:27 class_idx:100 text:离
x:53 y:225 width:23 height:25 class_idx:100 text:列
x:365 y:1021 width:27 height:28 class_idx:100 text:和
x:672 y:1063 width:25 height:28 class_idx:100 text:有
x:95 y:224 width:24 height:24 class_idx:100 text:式
x:552 y:1063 width:26 height:30 class_idx:100 text:家
x:138 y:221 width:21 height:24 class_idx:100 text:算
x:40 y:1060 width:26 height:29 class_idx:100 text:家
x:253 y:1061 width:25 height:33 class_idx:100 text:华
x:158 y:1063 width:26 height:27 class_idx:100 text:距
x:151 y:86 width:25 height:25 class_idx:100 text:和
x:193 y:86 width:23 height:25 class_idx:100 text:学
x:135 y:1061 width:24 height:28 class_idx:100 text:的
x:101 y:90 width:23 height:23 class_idx:100 text:算
x:104 y:565 width:25 height:25 class_idx:100 text:架
x:199 y:755 width:25 height:28 class_idx:100 text:兔
x:88 y:1060 width:25 height:29 class_idx:100 text:学
x:679 y:270 width:63 height:43 class_idx:101
x:14 y:565 width:24 height:25 class_idx:102
x:577 y:1063 width:26 height:28 class_idx:100 text:到
x:465 y:1063 width:30 height:31 class_idx:100 text:倍
x:244 y:755 width:25 height:28 class_idx:100 text:只
x:489 y:754 width:24 height:27 class_idx:100 text:比
x:438 y:1020 width:26 height:30 class_idx:100 text:都
x:348 y:1063 width:25 height:30 class_idx:100 text:校
x:696 y:1063 width:26 height:28 class_idx:100 text:多
x:603 y:754 width:25 height:29 class_idx:100 text:少
x:342 y:1021 width:26 height:29 class_idx:100 text:家
x:604 y:1020 width:28 height:30 class_idx:100 text:新
x:648 y:1063 width:25 height:28 class_idx:100 text:家
x:528 y:1061 width:25 height:33 class_idx:100 text:华
x:259 y:1020 width:26 height:30 class_idx:100 text:家
x:290 y:754 width:27 height:29 class_idx:100 text:是
x:79 y:1019 width:24 height:27 class_idx:100 text:号
x:557 y:1021 width:25 height:29 class_idx:100 text:向
x:442 y:754 width:25 height:27 class_idx:100 text:灰
x:111 y:1060 width:25 height:30 class_idx:100 text:校
x:210 y:1020 width:26 height:29 class_idx:100 text:小
x:278 y:89 width:24 height:24 class_idx:100 text:你
x:509 y:1021 width:25 height:28 class_idx:100 text:西
x:629 y:1020 width:27 height:29 class_idx:100 text:华
x:420 y:1063 width:27 height:30 class_idx:100 text:的
x:626 y:754 width:25 height:29 class_idx:100 text:只
x:74 y:756 width:26 height:29 class_idx:100 text:有
x:314 y:754 width:25 height:27 class_idx:100 text:白
x:304 y:508 width:46 height:27 class_idx:104 text:270
x:159 y:166 width:50 height:33 class_idx:101
x:268 y:753 width:25 height:30 class_idx:100 text:数
x:319 y:1021 width:28 height:30 class_idx:100 text:丽
x:653 y:1020 width:28 height:30 class_idx:100 text:街
x:54 y:1018 width:26 height:30 class_idx:100 text:学
x:372 y:1063 width:26 height:28 class_idx:100 text:距
x:534 y:754 width:25 height:29 class_idx:100 text:兔
x:228 y:1063 width:25 height:28 class_idx:100 text:小
x:303 y:456 width:47 height:29 class_idx:104 text:450
x:616 y:565 width:23 height:28 class_idx:100 text:钱
x:581 y:1020 width:26 height:30 class_idx:100 text:的
x:10 y:733 width:681 height:257 class_idx:202
x:215 y:86 width:23 height:25 class_idx:100 text:说
x:64 y:1060 width:26 height:29 class_idx:100 text:到
x:714 y:1019 width:25 height:30 class_idx:100 text:小
x:738 y:1019 width:26 height:29 class_idx:100 text:华
x:414 y:1020 width:25 height:30 class_idx:100 text:校
x:235 y:1020 width:25 height:30 class_idx:100 text:华
x:405 y:753 width:27 height:30 class_idx:100 text:倍
x:688 y:34 width:29 height:31 class_idx:100 text:教
x:300 y:1063 width:27 height:28 class_idx:100 text:到
x:528 y:563 width:24 height:27 class_idx:100 text:花
x:449 y:560 width:25 height:29 class_idx:100 text:架
x:389 y:1021 width:26 height:28 class_idx:100 text:学
x:602 y:28 width:30 height:30 class_idx:100 text:乘
x:383 y:560 width:25 height:28 class_idx:100 text:样
x:175 y:754 width:26 height:29 class_idx:100 text:灰
x:397 y:1063 width:25 height:30 class_idx:100 text:离
