x:269 y:401 width:58 height:40 class_idx:101
x:145 y:411 width:23 height:25 class_idx:100 text:估
x:145 y:446 width:24 height:25 class_idx:100 text:笔
x:164 y:445 width:24 height:26 class_idx:100 text:算
x:126 y:445 width:23 height:25 class_idx:100 text:再
x:234 y:378 width:21 height:23 class_idx:100 text:买
x:181 y:411 width:24 height:25 class_idx:100 text:估
x:405 y:579 width:22 height:24 class_idx:100 text:说
x:140 y:376 width:24 height:24 class_idx:100 text:学
x:154 y:248 width:24 height:26 class_idx:100 text:算
x:249 y:413 width:22 height:25 class_idx:100 text:是
x:133 y:246 width:23 height:25 class_idx:100 text:口
x:300 y:480 width:23 height:25 class_idx:100 text:方
x:114 y:285 width:26 height:24 class_idx:104 text:40
x:230 y:411 width:23 height:25 class_idx:100 text:约
x:597 y:384 width:21 height:24 class_idx:100 text:花
x:128 y:480 width:22 height:25 class_idx:100 text:方
x:255 y:576 width:20 height:24 class_idx:100 text:竖
x:313 y:379 width:21 height:24 class_idx:100 text:小
x:659 y:800 width:22 height:23 class_idx:100 text:个
x:299 y:576 width:20 height:24 class_idx:100 text:你
x:319 y:481 width:25 height:25 class_idx:100 text:法
x:161 y:376 width:22 height:24 class_idx:100 text:校
x:288 y:380 width:21 height:23 class_idx:100 text:套
x:759 y:779 width:25 height:25 class_idx:100 text:数
x:523 y:381 width:24 height:25 class_idx:100 text:元
x:562 y:169 width:25 height:31 class_idx:100 text:乘
x:302 y:289 width:35 height:24 class_idx:104 text:200
x:743 y:778 width:20 height:23 class_idx:100 text:位
x:443 y:218 width:25 height:26 class_idx:100 text:内
x:123 y:411 width:23 height:25 class_idx:100 text:先
x:741 y:809 width:20 height:24 class_idx:100 text:积
x:704 y:774 width:22 height:22 class_idx:100 text:把
x:404 y:779 width:20 height:24 class_idx:100 text:进
x:219 y:575 width:19 height:24 class_idx:100 text:两
x:281 y:639 width:31 height:20 class_idx:104 text:230
x:324 y:413 width:21 height:25 class_idx:100 text:元
x:165 y:779 width:19 height:21 class_idx:100 text:位
x:238 y:608 width:21 height:22 class_idx:100 text:练
x:200 y:749 width:20 height:21 class_idx:100 text:预
x:180 y:376 width:20 height:24 class_idx:100 text:图
x:553 y:789 width:20 height:21 class_idx:100 text:数
x:236 y:575 width:20 height:24 class_idx:100 text:个
x:216 y:379 width:20 height:24 class_idx:100 text:室
x:652 y:385 width:20 height:24 class_idx:100 text:少
x:494 y:381 width:30 height:25 class_idx:104 text:280
x:148 y:481 width:21 height:23 class_idx:100 text:法
x:642 y:796 width:20 height:25 class_idx:100 text:几
x:354 y:580 width:20 height:21 class_idx:100 text:哪
x:574 y:289 width:47 height:30 class_idx:101
x:220 y:841 width:18 height:23 class_idx:100 text:算
x:385 y:380 width:20 height:23 class_idx:100 text:家
x:201 y:575 width:19 height:24 class_idx:100 text:面
x:586 y:170 width:23 height:30 class_idx:100 text:法
x:778 y:811 width:24 height:25 class_idx:100 text:未
x:372 y:780 width:17 height:23 class_idx:100 text:对
x:420 y:640 width:32 height:23 class_idx:104 text:380
x:219 y:806 width:20 height:22 class_idx:100 text:个
x:671 y:385 width:18 height:25 class_idx:100 text:钱
x:372 y:578 width:20 height:21 class_idx:100 text:种
x:781 y:781 width:25 height:25 class_idx:100 text:与
x:400 y:166 width:24 height:32 class_idx:100 text:因
x:350 y:379 width:19 height:25 class_idx:100 text:科
x:410 y:381 width:22 height:23 class_idx:100 text:丛
x:368 y:379 width:19 height:25 class_idx:100 text:学
x:74 y:294 width:25 height:24 class_idx:100 text:知
x:185 y:809 width:19 height:21 class_idx:100 text:上
x:183 y:778 width:18 height:22 class_idx:100 text:数
x:442 y:580 width:20 height:23 class_idx:100 text:说
x:335 y:579 width:20 height:20 class_idx:100 text:欢
x:578 y:384 width:21 height:24 class_idx:100 text:共
x:140 y:638 width:30 height:21 class_idx:104 text:130
x:205 y:323 width:29 height:28 class_idx:101
x:474 y:381 width:20 height:24 class_idx:100 text:套
x:334 y:290 width:19 height:23 class_idx:104 text:*
x:388 y:780 width:17 height:21 class_idx:100 text:齐
x:204 y:806 width:17 height:23 class_idx:100 text:几
x:244 y:748 width:17 height:23 class_idx:100 text:我
x:303 y:778 width:17 height:22 class_idx:100 text:那
x:455 y:379 width:20 height:29 class_idx:100 text:每
x:318 y:576 width:19 height:24 class_idx:100 text:喜
x:524 y:293 width:34 height:23 class_idx:104 text:800
